824;KOTA KUPANG;1
532;KOTA LANGSA;1
533;KOTA LHOKSEUMAWE;1
623;KOTA LUBUKLINGGAU;1
774;KOTA MADIUN;1
736;KOTA MAGELANG;1
930;KOTA MAKASSAR;1
775;KOTA MALANG;1
892;KOTA MANADO;1
811;KOTA MATARAM;1
561;KOTA MEDAN;1
651;KOTA METRO;1
776;KOTA MOJOKERTO;1
581;KOTA PADANG;1
581;KOTA PADANGPANJANG;1
562;KOTA PADANGSIDEMPUAN;1
624;KOTA PAGARALAM;1
852;KOTA PALANGKARAYA;1
622;KOTA PALEMBANG;1
931;KOTA PALOPO;1
908;KOTA PALU;1
657;KOTA PANGKALPINANG;1
932;KOTA PARE-PARE;1
583;KOTA PARIAMAN;1
777;KOTA PASURUAN;1
584;KOTA PAYAKUMBUH;1
737;KOTA PEKALONGAN;1
597;KOTA PEKANBARU;1
563;KOTA PEMATANGSIANTAR;1
837;KOTA PONTIANAK;1
625;KOTA PRABUMULIH;1
778;KOTA PROBOLINGGO;1
534;KOTA SABANG;1
738;KOTA SALATIGA;1
874;KOTA SAMARINDA;1
585;KOTA SAWAHLUNTO;1
735;KOTA SEMARANG;1
676;KOTA SERANG;1
564;KOTA SIBOLGA;1
838;KOTA SINGKAWANG;1
586;KOTA SOLOK;1
1022;KOTA SORONG;1
531;KOTA SUBULUSSALAM;1
714;KOTA SUKABUMI;1
619;KOTA SUNGAI PENUH;1
771;KOTA SURABAYA;1
739;KOTA SURAKARTA;1
677;KOTA TANGERANG;1
678;KOTA TANGERANG SELATAN;1
565;KOTA TANJUNGBALAI;1
663;KOTA TANJUNGPINANG;1
877;KOTA TARAKAN;1
715;KOTA TASIKMALAYA;1
566;KOTA TEBINGTINGGI;1
741;KOTA TEGAL;1
978;KOTA TERNATE;1
979;KOTA TIDORE;1
895;KOTA TOMOHON;1
969;KOTA TUAL;1
783;KOTA YOGYAKARTA;1
859;KOTABARU;1
845;KOTAWARINGIN BARAT;1
846;KOTAWARINGIN TIMUR;1
591;KUANTAN SINGINGI;1
829;KUBURAYA;1
721;KUDUS;1
781;KULONPROGO;1
689;KUNINGAN;1
817;KUPANG;1
868;KUTAI BARAT;1
869;KUTAI KARTANEGARA;1
871;KUTAI TIMUR;1
541;LABUHANBATU;1
542;LABUHANBATU SELATAN;1
543;LABUHANBATU UTARA;1
611;LAHAT;1
847;LAMANDAU;1
751;LAMONGAN;1
636;LAMPUNG BARAT;1
637;LAMPUNG SELATAN;1
638;LAMPUNG TENGAH;1
639;LAMPUNG TIMUR;1
641;LAMPUNG UTARA;1
831;LANDAK;1
544;LANGKAT;1
1002;LANNY JAYA;1
671;LEBAK;1
631;LEBONG;1
818;LEMBATA;1
571;LIMAPULUHKOTO;1
661;LINGGA;1
795;LOMBOK BARAT;1
796;LOMBOK TENGAH;1
797;LOMBOK TIMUR;1
798;LOMBOK UTARA;1
751;LUMAJANG;1
917;LUWU;1
918;LUWU TIMUR;1
919;LUWU UTARA;1
752;MADIUN;1
721;MAGELANG;1
753;MAGETAN;1
873;MAHAKAM ULU;1
691;MAJALENGKA;1
956;MAJENE;1
823;MALAKA;1
754;MALANG;1
878;MALINAU;1
964;MALUKU BARAT DAYA;1
965;MALUKU TENGAH;1
966;MALUKU TENGGARA;1
967;MALUKU TENGGARA BARAT;1
957;MAMASA;1
993;MAMBERAMO RAYA;1
994;MAMBERAMO TENGAH;1
953;MAMUJU;1
954;MAMUJU TENGAH;1
955;MAMUJU UTARA;1
545;MANDAILING NATAL;1
819;MANGGARAI;1
811;MANGGARAI BARAT;1
811;MANGGARAI TIMUR;1
1013;MANOKWARI;1
1014;MANOKWARI SELATAN;1
985;MAPPI;1
920;MAROS;1
1020;MAYBRAT;1
831;MELAWI;1
612;MERANGIN;1
986;MERAUKE;1
647;MESUJI;1
987;MIMIKA;1
885;MINAHASA;1
886;MINAHASA SELATAN;1
887;MINAHASA TENGGARA;1
888;MINAHASA UTARA;1
755;MOJOKERTO;1
901;MOROWALI;1
902;MOROWALI UTARA;1
613;MUARAENIM;1
613;MUAROJAMBI;1
632;MUKO-MUKO;1
942;MUNA;1
848;MURUNGRAYA;1
614;MUSIBANYUASIN;1
615;MUSIRAWAS;1
1000;NABIRE;1
526;NAGANRAYA;1
812;NAGEKEO;1
661;NATUNA;1
1003;NDUGA;1
813;NGADA;1
756;NGANJUK;1
757;NGAWI;1
546;NIAS;1
547;NIAS BARAT;1
548;NIAS SELATAN;1
549;NIAS UTARA;1
879;NUNUKAN;1
616;OGAN ILIR;1
617;OGAN KOMERING ILIR;1
618;OGAN KOMERING ULU;1
619;OGAN KOMERING ULU SELATAN;1
621;OGAN KOMERING ULU TIMUR;1
758;PACITAN;1
558;PADANG LAWAS;1
559;PADANG LAWAS UTARA;1
572;PADANGPARIAMAN;1
551;PAKPAKBHARAT;1
759;PAMEKASAN;1
672;PANDEGLANG;1
696;PANGANDARAN;1
921;PANGKAJENE KEPULAUAN;1
988;PANIAI;1
903;PARIGIMOUTONG;1
573;PASAMAN;1
574;PASAMAN BARAT;1
872;PASER;1
761;PASURUAN;1
722;PATI;1
1021;PEGUNUNGAN ARFAK;1
989;PEGUNUNGAN BINTANG;1
1125;Pekajang Kab. Lingga;1
723;PEKALONGAN;1
592;PELALAWAN;1
724;PEMALANG;1
871;PENAJAM PASER UTARA;1
621;PENUKAL ABAB LEMATANG ILIR;1
645;PESAWARAN;1
648;PESISIR BARAT;1
575;PESISIR SELATAN;1
527;PIDIE;1
528;PIDIE JAYA;1
922;PINRANG;1
951;POHUWATO;1
958;POLEWALI MANDAR;1
761;PONOROGO;1
832;PONTIANAK;1
904;POSO;1
646;PRINGSEWU;1
762;PROBOLINGGO;1
849;PULANGPISAU;1
1128;Pulau Laut Kab. Natuna;1
1127;Pulau Midai Kab. Natuna;1
976;PULAU MOROTAI;1
1126;Pulau Serasan Kab. Natuna;1
977;PULAU TALIABU;1
1124;Pulau Tambelan Kab. Bintan;1
990;PUNCAK;1
991;PUNCAKJAYA;1
725;PURBALINGGA;1
691;PURWAKARTA;1
726;PURWOREJO;1
1012;RAJAAMPAT;1
633;REJANGLEBONG;1
727;REMBANG;1
593;ROKAN HILIR;1
594;ROKAN HULU;1
814;ROTE NDAO;1
821;SABURAIJUA;1
833;SAMBAS;1
551;SAMOSIR;1
763;SAMPANG;1
834;SANGGAU;1
992;SARMI;1
614;SAROLANGUN;1
576;SAWAHLUNTO SIJUNJUNG;1
836;SEKADAU;1
909;SELAYAR;1
634;SELUMA;1
728;SEMARANG;1
962;SERAM BAGIAN BARAT;1
963;SERAM BAGIAN TIMUR;1
673;SERANG;1
553;SERDANG BEDAGAI;1
851;SERUYAN;1
595;SIAK;1
923;SIDENRENGRAPPANG;1
764;SIDOARJO;1
907;SIGI;1
815;SIKKA;1
554;SIMALUNGUN;1
529;SIMEULUE;1
924;SINJAI;1
835;SINTANG;1
765;SITUBONDO;1
782;SLEMAN;1
577;SOLOK;1
578;SOLOK SELATAN;1
925;SOPPENG;1
1015;SORONG;1
1016;SORONG SELATAN;1
729;SRAGEN;1
692;SUBANG;1
693;SUKABUMI;1
851;SUKAMARA;1
731;SUKOHARJO;1
816;SUMBA BARAT;1
817;SUMBA BARAT DAYA;1
818;SUMBA TENGAH;1
819;SUMBA TIMUR;1
799;SUMBAWA;1
811;SUMBAWA BARAT;1
694;SUMEDANG;1
766;SUMENEP;1
995;SUPIORI;1
861;TABALONG;1
791;TABANAN;1
926;TAKALAR;1
1019;TAMBRAUW;1
881;TANA TIDUNG;1
861;TANAHBUMBU;1
579;TANAHDATAR;1
862;TANAHLAUT;1
927;TANATORAJA;1
674;TANGERANG;1
641;TANGGAMUS;1
615;TANJUNGJABUNG BARAT;1
616;TANJUNGJABUNG TIMUR;1
555;TAPANULI SELATAN;1
556;TAPANULI TENGAH;1
557;TAPANULI UTARA;1
863;TAPIN;1
695;TASIKMALAYA;1
617;TEBO;1
731;TEGAL;1
1017;TELUKBINTUNI;1
